ems_id,monitoring_location,location_type,location_purpose,lat,lon,n_samples_catalogue,n_results_catalogue,first_sample,last_sample
E285369,GOLDCORP EQUITY MINE (PE04475) BESSEMER CREEK 9,21,2,54.10463,-126.17162,0,0,NA,NA
E285370,GOLDCORP EQUITY PERMIT (PE-04475) BESSEMER CK. 10,21,2,54.10432,-126.17164,0,0,NA,NA
E285371,GOLDCORP EQUITY MINE (PE-04475) BESSEMER CK. 11,21,2,54.10407,-126.17175,0,0,NA,NA
E285372,GOLDCORP EQUITY MINE (PE-04475) BEESEMER CK. 12,21,2,54.10382,-126.17182,0,0,NA,NA
E285373,GOLDCORP EQUITY MINE (PE-04475) PIESOMETER RH-90-10,21,2,54.11237,-126.179,0,0,NA,NA
E280255,BULKLEY RIVER NEAR HOUSTON,21,6,54.39583,-126.70833,0,0,NA,NA
E280259,RICHFIELD CREEK NEAR TOPLEY,21,6,54.51639,-126.33444,0,0,NA,NA
E280263,FOXY CREEK ABOVE LU CREEK,21,6,54.21278,-126.25833,0,0,NA,NA
E280264,LU CREEK NEAR THE MOUTH,21,6,54.20806,-126.26472,0,0,NA,NA
E280266,MAXAN CREEK ABOVE BULKLEY LAKE,21,6,54.35694,-126.17,0,0,NA,NA
E280267,MAXAN CREEK AT OUTLET OF MAXAN LAKE,21,6,54.31944,-126.11639,0,0,NA,NA
E307326,165-SW (ALLIN CR),21,1,54.13317,-126.1575,0,0,NA,NA
E325191,KNOCKHOLT LANDFILL MR-8856 UNNAMED STREAM FAR FIELD,21,2,54.448764,-126.528481,0,0,NA,NA
E325211,KNOCKHOLT LANDFILL MR-8856 PIPE WEST,21,2,54.4427,-126.52637,0,0,NA,NA
0400760,EQUITY SILVER PE04475 SEEPAGE NO. 1 DAM,23,2,54.2114,-126.2608,15,234,1980-09-10,1981-12-15
E273004,BALSAM ROAD NEAR 14 KM  BUCK FLATS,23,4,54.26,-126.63,1,38,2008-08-15,2008-08-15
E250522,LU LAKE AUTOMATED SNOW PILLOW,25,6,54.1961,-126.3047,0,0,NA,NA
E209043,LIME STORAGE SILO PA7189,29,3,54.503,-126.3009,0,0,NA,NA
E216101,PE-4475 AMD LIME STORAGE BIN EXHAUST,29,3,54.1972,-126.2792,0,0,NA,NA
E218732,SHAVINGS CYCLONE - FUEL METERING BIN,29,3,54.3743,-126.7145,0,0,NA,NA
E213158,350H.P. NATURAL GAS STEAM BOILER (PA1543),29,3,54.3861,-126.7259,0,0,NA,NA
E213159,250H.P. NATURAL GAS STEAM BOILER (PA1543),29,3,54.3861,-126.7259,0,0,NA,NA
E213160,TWO HOGFUEL FIRED POWER BOILERS (PA-1543),29,3,54.385833,-126.724722,0,0,NA,NA
E213168,VOLCANO ENERGY SYSTEM,29,3,54.3762,-126.7143,0,0,NA,NA
E213169,HOUSTON FP (PA-5339) MODIFIED  BEEHIVE BURNER,29,3,54.3726,-126.717,0,0,NA,NA
E219205,PR1791 TOPLEY LANDFILL OPEN BURN,29,3,54.508333,-126.298611,0,0,NA,NA
E226895,OMINECA REDI-MIX CEMENT SILO PA12261,29,3,54.27,-126.28,0,0,NA,NA
E213164,CANADIAN FOREST PRODUCTS (PA1543) BEEHIVE BURNER,29,3,54.3849,-126.7281,0,0,NA,NA
E213166,HOUSTON FOREST PRODUCTS (PA-05339) BEEHIVE SAWDUST/SHAVINGS CYCLONE,29,3,54.3727,-126.7166,0,0,NA,NA
E218733,SHAVINGS CYCLONE - FUEL STORAGE SILO-VOLCANO,29,3,54.3758,-126.7149,0,0,NA,NA
E213161,PA-01543 CANFOR 11 STEAM HEATED LUMBER DRY KILNS,29,3,54.3869,-126.7221,0,0,NA,NA
E213165,HOUSTON FP (PA-05339) 8 HOT-OIL-HEATED LUMBER KILNS,29,3,54.3757,-126.7142,0,0,NA,NA
E247661,HOUSTON FP(PA05339) SAWDUST DISCHARGE CYCLONE,29,3,54.3723,-126.7149,0,0,NA,NA
E213162,DEBARKER CYCLONE,29,3,54.3866,-126.7221,0,0,NA,NA
E213163,NORTHWOOD INC. (PA-01543) A PNEUMATIC CHIP CONVEYOR SYSTEM,29,3,54.3849,-126.7256,0,0,NA,NA
E266223,PA-01543 CANFOR BIOMASS FIRED ENERGY SYSTEM,29,3,54.385,-126.728056,0,0,NA,NA
E266224,PA-01543 CANFOR EMERGENCY BYPASS STACKS,29,3,54.384722,-126.728611,0,0,NA,NA
E266225,PELLET PLANT FURNISH DRYERS,29,3,54.385,-126.728333,0,0,NA,NA
E266226,THIS SITE SHOULD BE DELETED,29,3,54.385556,-126.728611,0,0,NA,NA
E266242,PA-01543 DUST COLLECTION CYCLONE #2,29,3,54.385833,-126.728611,0,0,NA,NA
E264064,One HE CYCLONES FOR DRIED PRODUCT SILO,29,3,54.385556,-126.728611,0,0,NA,NA
E261217, SHAVINGS CYCLONE ASSTD WITH A-LINE PLANER  PA-5339,29,3,54.366803,-126.700223,0,0,NA,NA
E261218,SHAVINGS CYCLONE ASSTD WITH B-LINE PLANER (PA-5339),29,3,54.366803,-126.700223,0,0,NA,NA
E261219,CYCLONES,29,3,54.366816,-126.70023,0,0,NA,NA
E261220,GAS-FIRED/THERMAL OIL BOOSTER HEATER ASSTD WITH THE LUMBER DRY KILNS,29,3,54.36682,-126.700229,0,0,NA,NA
E261221,PLANER CHIPS BLOWING SYSTEM TO RAILCARS OR STORAGE PILE,29,3,54.366768,-126.700259,0,0,NA,NA
E261222,SAWMILL CHIPS BLOWING SYSTEM TO RAILCARS OR PILE,29,3,54.366763,-126.700251,0,0,NA,NA
E261223,DUST CONTROL CYCLONE ASSTD WITH LINE-A & B PLANER,29,3,54.366803,-126.700223,0,0,NA,NA
E261694,DUST EXTRACTION SYSTEM-3 MULTICYCLONES,29,3,54.385,-126.724444,0,0,NA,NA
E213167,7 CHIPS & SAWDUST BLOWPIPES,29,3,54.3723,-126.7149,0,0,NA,NA
E264061,PLANER MILL CYCLONES DISCHARGE,29,3,54.386667,-126.724167,0,0,NA,NA
E264062,PELLET PLANT DRYERS,29,3,54.385278,-126.729167,0,0,NA,NA
E264063,HAMMERMILL CYCLONE,29,3,54.385278,-126.728333,0,0,NA,NA
E301230,FUTURE SAWMILL DUST COLLECTION,29,3,54.3859,-126.7275,0,0,NA,NA
