site,replicate,sample_id,date,phylum,sub_phylum,class,order,family,subfamily,tribe,taxon,taxonomy,itis_code,voltinism,ffg,maturity,nd,count,pct_sampled,rep_num
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Diphetor hageni,Diphetor hageni,568598,Unclassified,Collector-Gatherer,Larvae,NA,2,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Ephemerella,Ephemerella,101233,UV,Collector-Gatherer,Larvae,NA,3,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Leptophlebiidae,NA,NA,Neoleptophlebia,Neoleptophlebia,101095A,NA,Collector-Gatherer,Larvae,NA,20,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Epeorus,Epeorus,100626,Unclassified,Scraper,Larvae,NA,1,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Rhithrogena,Rhithrogena,100572,Unclassified,Scraper,Larvae,NA,12,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Chloroperlidae,NA,NA,Haploperla,Haploperla,103260,Unclassified,Predator,Larvae,NA,2,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Pteronarcyidae,NA,NA,Pteronarcys,Pteronarcys,102471,Unclassified,Omnivore,Larvae,NA,1,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Hygrobatidae,NA,NA,Atractides,Atractides,83282,Unclassified,Predator,Adult,NA,2,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Hydryphantidae,NA,NA,Protzia,Protzia,83170,Unclassified,Predator,Adult,NA,1,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Lebertiidae,NA,NA,Lebertia,Lebertia,83034,Unclassified,Predator,Adult,NA,6,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Sperchontidae,NA,NA,Sperchon,Sperchon,83006,Unclassified,Predator,Adult,NA,1,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,NA,NA,Optioservus,Optioservus,114177,SV,Scraper,Larvae,NA,4,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlodidae,NA,NA,Isoperla,Isoperla,102995,UV,Predator,Larvae,NA,9,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,NA,NA,NA,Trichoptera,Trichoptera,115095,NA,NA,Juvenile/Damaged,ND,1,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,NA,NA,NA,Ephemeroptera,Ephemeroptera,100502,NA,Collector-Gatherer,Juvenile/Damaged,ND,2,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Chelicerata,Arachnida,Trombidiformes,NA,NA,NA,Trombidiformes,Trombidiformes,82769,NA,Predator,Juvenile/Damaged,NA,1,5,2
BUL-01,B,BUL-01-B,2025-10-03,Nemata,NA,NA,NA,NA,NA,NA,Nemata,Nemata,563956,NA,Shredder-Herbivore,None,NA,1,5,2
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsychidae,Hydropsychidae,115398,Unclassified,Collector-Filterer,Juvenile/Damaged,ND,6,5,3
