ems_id,monitoring_location,date,year,month,parameter,result,unit,method_detection_limit,result_letter
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,2000-02-04,2000,2,Temperature,2.8,C,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,2000-05-26,2000,5,Specific Conductance,729,uS/cm,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,2000-04-26,2000,4,Oxygen Dissolved,10.2,mg/L,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,2000-08-18,2000,8,pH,8.33,pH units,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,2000-12-12,2000,12,pH,7.6,pH units,NA,NA
E238623,BOB CREEK @ 12 KM,2004-09-08,2004,9,Residue: Non-filterable (TSS),4,mg/L,4,<
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,2011-07-27,2011,7,Temperature,13.3,C,0,NA
E294171,WQ E2 (PARROT FSR),2013-11-21,2013,11,Specific Conductance,132,uS/cm,1,NA
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1984-03-05,1984,3,Residue: Non-filterable (TSS),6,mg/L,NA,NA
0400762,BESSEMER CREEK EQUITY MINE,1982-04-07,1982,4,Temperature,7.5,C,NA,NA
0700148,EQUITY WEST PIEZOMETER BEKIW SEEPAGE POND,1983-02-08,1983,2,Specific Conductance,530,uS/cm,NA,NA
0700084,GOOSLY LAKE PE04475 EQUITY SILVER,1982-09-20,1982,9,Specific Conductance,107,uS/cm,NA,NA
0400762,BESSEMER CREEK EQUITY MINE,1982-01-26,1982,1,pH,3.6,pH units,NA,NA
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,1981-05-28,1981,5,Residue: Non-filterable (TSS),1,mg/L,NA,<
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,1981-09-10,1981,9,pH,7.4,pH units,NA,NA
