ems_id,monitoring_location,date,year,month,parameter,param_abb,result,unit,method_detection_limit,result_letter,below_detect,latitude,longitude
E294171,WQ E2 (PARROT FSR),2015-10-22,2015,10,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.002,mg/L,0.002,<,TRUE,54.158524,-126.313944
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,2016-05-30,2016,5,Phosphorus Total,tp,0.3,mg/L,0.3,<,TRUE,54.1556,-126.3069
E219804,BUCK CREEK D/S HIGHWAY 16 (U/S HOUSTON STP),2017-01-03,2017,1,Nitrogen Ammonia Dissolved,nh3,0.005,mg/L,0.005,<,TRUE,54.4026,-126.654
E307185,MCQUARRIE CREEK - LOWER,2017-01-03,2017,1,Nitrogen - Nitrite Dissolved (NO2),no2,0.001,mg/L,0.001,<,TRUE,54.51389,-126.4636
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,2017-06-12,2017,6,Phosphorus Total,tp,0.3,mg/L,0.3,<,TRUE,54.1681,-126.3322
0700146,GOLDCORP EQUITY MINE (PE04475) SOUTHERN TAIL PIT WATER,2017-09-25,2017,9,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.10468,-126.16326
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,2018-05-28,2018,5,Phosphorus Total,tp,0.3,mg/L,0.3,<,TRUE,54.1556,-126.3069
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,2018-05-14,2018,5,Phosphorus Total,tp,0.3,mg/L,0.3,<,TRUE,54.1681,-126.3322
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,2018-09-17,2018,9,Phosphorus Total Dissolved,tdp,0.0074,mg/L,0.002,NA,FALSE,54.1681,-126.3322
0700146,GOLDCORP EQUITY MINE (PE04475) SOUTHERN TAIL PIT WATER,2019-05-27,2019,5,Phosphorus Total Dissolved,tdp,1,mg/L,1,<,TRUE,54.10468,-126.16326
E285576,GOLDCORP EQUITY SILVER (PE04475) HDS PLANT CLARIFIER OVERFLOW,2019-08-26,2019,8,Phosphorus Total,tp,0.3,mg/L,0.3,<,TRUE,54.11585,-126.16313
E216165,GOLDCORP EQUITY MINE (PE04475) TAILINGS POND SUPERNATANT,2020-09-28,2020,9,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.12127,-126.16326
E216165,GOLDCORP EQUITY MINE (PE04475) TAILINGS POND SUPERNATANT,2022-06-27,2022,6,Nitrogen - Nitrite Dissolved (NO2),no2,0.005,mg/L,0.005,<,TRUE,54.12127,-126.16326
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,2022-06-14,2022,6,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.1681,-126.3322
0400763,UPPER FOXY CREEK - UPSTREAM OF EQUITY MINESITE,2022-08-10,2022,8,Nitrate (NO3) Dissolved,no3,0.0065,mg/L,0.005,NA,FALSE,54.2117,-126.2878
0700146,GOLDCORP EQUITY MINE (PE04475) SOUTHERN TAIL PIT WATER,2024-10-28,2024,10,Phosphorus Total,tp,1,mg/L,1,<,TRUE,54.10468,-126.16326
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,1983-08-10,1983,8,Nitrogen Kjel.Tot(N),tkn,0.31,mg/L,NA,NA,FALSE,54.1556,-126.3069
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1984-05-08,1984,5,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.02,mg/L,NA,NA,FALSE,54.3967,-126.7092
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1984-07-25,1984,7,Nitrogen Total,tn,0.33,mg/L,NA,NA,FALSE,54.3967,-126.7092
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,1987-05-11,1987,5,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.02,mg/L,NA,<,TRUE,54.1556,-126.3069
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,1986-08-11,1986,8,Nitrogen Ammonia Dissolved,nh3,0.012,mg/L,NA,NA,FALSE,54.1681,-126.3322
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,1986-06-02,1986,6,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.02,mg/L,NA,<,TRUE,54.1556,-126.3069
0400297,BULKLEY RIVER U/S HOUSTON STP,1994-08-23,1994,8,Nitrogen Ammonia Dissolved,nh3,0.005,mg/L,NA,<,TRUE,54.4006,-126.6675
