Site Code,Site Visit Date,Sample Number,Habitat Type,Parameter,Unit,Value
BUL-01,2025-10-03,1,Substrate Data,Dg,cm,4.89
BUL-01,2025-10-03,1,Substrate Data,Diameter-Mean,cm,5.54
BUL-01,2025-10-03,1,Substrate Data,%Silt+Clay,%,5
BUL-01,2025-10-03,1,Substrate Data,%Sand,%,0
BUL-01,2025-10-03,1,Substrate Data,%Gravel,%,15
BUL-01,2025-10-03,1,Substrate Data,%Pebble,%,46
BUL-01,2025-10-03,1,Substrate Data,%Cobble,%,34
BUL-01,2025-10-03,1,Substrate Data,%Boulder,%,0
BUL-01,2025-10-03,1,Substrate Data,Dominant-1st,Category(0-9),5
BUL-01,2025-10-03,1,Substrate Data,Dominant-2nd,Category(0-9),6
BUL-01,2025-10-03,1,Substrate Data,Embeddedness,Category(0-4),0
BUL-01,2025-10-03,1,Substrate Data,PebbleCount,cm,"6,8,5,5,1.5,5.5,5.5,5.5,6.5,4.5,10,6.5,10,5,15,5.5,5.5,5,12,1,2,8,12,2,8,3.5,6.5,7,1.5,8.5,0.5,5.5,3.5,6,7.5,4,5.5,7,11,6,1.5,3.5,4,4,7.5,6,6,11,12,3,5,4.5,9.5,5,5,5,5.5,2.5,3.5,5.5,5.5,7.5,6,5,7,4.5,3,3.5,10.5,7,0.5,5,5.5,11,7,4.5,7,8.5,5.5,5,5.5,2.5,3.5,5.5,5,10,0,0,4.5,9,0.5,0.5,9.5,0,1.5,10,7,7,0,0"
